CommentID,userID,shopID,shopDistrID,tasteScore,enviScore,serviceScore,hygieneScore,moneyScore
63360,18352,10081,3002,5,3,4,4,5
41759,18352,6868,2004,5,3,4,4,5
71303,18352,13929,3002,5,3,4,3,5
43009,18352,10081,3002,5,3,4,4,4
2073419,18352,6992,3002,5,3,3,3,5
2020755,18352,23320,3003,5,3,3,4,4
41132,18352,7950,2011,5,4,4,3,3
38657,18352,10595,2019,4,5,4,5,4
67802,18352,13929,3002,4,4,4,4,5
30933,18352,101,2028,4,5,4,4,4
2092577,18352,17081,3003,4,4,4,4,4
73875,18352,14353,3003,4,4,4,4,4
73147,18352,6302,3008,4,4,4,4,4
39891,18352,8046,3018,4,4,4,4,4
36775,18352,8404,3005,4,4,4,4,4
2070524,18352,1921,2010,4,4,4,4,3
2067357,18352,10636,2028,4,3,4,4,4
41131,18352,6302,3008,4,3,4,4,4
33397,18352,8046,3018,4,3,4,4,4
95984,18352,10082,1019,4,3,4,4,3
77892,18352,9891,2008,4,3,4,4,3
74293,18352,10668,3002,4,3,3,3,5
166793,18366,9938,2028,5,4,4,4,5
34113,18366,9861,2008,4,4,4,4,3
30525,18366,1431,1019,4,4,4,4,3
32526,18366,3708,3007,2,4,2,4,3
36810,18366,2858,2008,1,2,2,2,2
2058011,18366,14032,2010,1,1,1,1,1
43725,18366,7398,2011,1,1,1,1,1
33988,18366,9719,2010,1,1,1,1,1
