CommentID,userID,shopID,shopDistrID,tasteScore,enviScore,serviceScore,hygieneScore,moneyScore
55638,16700,10153,2008,3,4,1,4,2
1940901,16700,13658,2002,2,4,4,4,1
1929899,16700,1411,1023,2,4,4,4,1
154899,16700,15080,2010,2,4,3,3,2
2104103,16700,25039,8908,2,2,3,4,2
39733,16710,5182,1019,5,5,5,5,4
41659,16710,574,2002,5,4,5,5,4
1915354,16710,23742,8808,5,5,4,5,3
27740,16710,1618,1003,5,4,4,4,4
27732,16710,7899,2010,5,3,4,3,5
23066,16710,10009,2028,5,4,4,4,3
42701,16710,5986,4004,4,4,5,4,5
39726,16710,3279,2008,5,4,4,4,1
27896,16710,3279,2008,4,5,4,5,3
23261,16710,9846,1019,4,5,4,5,3
22967,16710,6336,2008,5,4,4,4,1
77754,16710,11545,2001,4,4,4,4,4
46567,16710,11453,3015,4,4,4,4,4
42697,16710,732,2002,4,4,4,4,4
2152184,16710,49389,2001,4,3,4,4,4
1895919,16710,17762,2010,4,4,4,4,3
1895909,16710,18645,2003,4,4,4,4,3
56312,16710,5139,1003,4,4,3,4,4
46639,16710,11948,2005,4,3,5,4,3
40538,16710,6336,2008,4,5,4,5,1
28033,16710,10808,2002,4,4,4,4,3
26657,16710,5142,3007,4,4,4,4,3
25081,16710,5114,2008,4,5,4,5,1
95979,16710,402,2001,4,3,4,3,4
90569,16710,13861,2026,4,3,3,4,4
87536,16710,13922,2026,4,4,3,4,3
60452,16710,3718,2008,4,4,3,4,3
51542,16710,544,2008,4,3,4,3,4
175305,16763,15516,2008,5,4,4,4,4
1978529,16763,15516,2008,5,4,4,4,3
2083691,16763,16936,3006,5,3,4,3,4
168233,16763,11543,2001,5,3,4,3,4
2037817,16763,37729,1025,4,4,4,4,3
2024896,16763,31536,1014,4,3,4,4,4
1996646,16763,12751,2032,4,3,4,3,5
1979745,16763,2665,2008,4,4,4,4,3
1966400,16763,13693,1004,4,3,4,4,4
1960063,16763,849,2001,4,3,4,4,4
1958697,16763,12751,2032,4,3,4,3,5
1873310,16763,16653,2001,4,3,4,4,4
180871,16763,10577,1003,4,3,4,4,4
177781,16763,12478,1019,4,3,4,4,4
2104822,16763,21187,2008,4,4,3,4,3
2079201,16763,26318,2008,4,4,3,4,3
2079082,16763,15287,2008,4,3,4,4,3
2038865,16763,18034,1022,4,3,4,3,4
2034926,16763,17295,2002,4,4,3,4,3
2027875,16763,10246,1019,4,3,3,4,4
2010094,16763,1998,1003,4,3,4,4,3
2005018,16763,2998,2021,4,3,4,3,4
1999627,16763,11425,2011,4,3,4,3,4
1998795,16763,14335,2001,4,3,4,3,4
1987997,16763,10576,1001,4,4,3,4,3
1981982,16763,3553,2001,4,3,4,3,4
1963526,16763,10690,1022,4,3,4,4,3
158348,16763,18089,2021,4,2,4,4,4
63322,16777,4180,1008,5,5,5,5,5
24359,16777,274,1022,5,4,5,5,5
56771,16777,12104,1019,5,3,4,5,5
24726,16777,1868,1003,5,5,4,4,4
24373,16777,24373,7558,5,4,4,4,5
84194,16777,15842,1026,5,3,5,3,5
2133876,16777,31424,1019,5,4,4,4,3
31944,16777,9942,2005,5,4,3,4,4
103687,16777,11679,1022,5,3,3,3,5
103690,16777,6929,1019,5,3,3,3,4
51902,16777,10703,1019,4,5,4,5,3
24195,16777,10326,1022,5,3,3,2,5
52338,16777,12650,1022,5,3,3,3,3
24634,16777,10082,1019,4,4,2,5,4
27286,16777,7496,1026,4,3,3,3,4
24561,16777,2167,2008,4,3,4,4,2
25067,16777,8533,1022,4,2,4,2,4
23506,16777,23506,5096,4,3,1,4,4
23180,16777,5096,2008,4,3,2,4,3
66005,16777,223,1022,4,3,2,3,3
64347,16777,11674,1019,3,3,3,3,3
2092142,16777,14237,3007,2,2,3,3,1
105559,16777,15460,1022,1,3,3,3,3
63894,16777,12577,1022,2,1,2,2,2
27015,16777,1921,2010,1,2,2,1,1
2063303,16798,1506,1011,5,5,5,5,4
2163897,16798,47955,1002,4,5,4,4,4
2159495,16798,49026,1003,4,4,4,4,5
2147371,16798,10217,1010,4,5,4,4,4
1969943,16798,10217,1010,4,5,4,4,4
2106781,16798,21377,1019,4,4,4,4,4
2106567,16798,16165,3020,4,3,4,4,5
1969942,16798,16708,1019,4,4,4,4,4
1945207,16798,18785,3006,4,4,4,4,4
