shopID,price,districtID,dishID,numLike,numOK,numDislike,tasteAvg,environmentAvg,serviceAvg,shopInfo,moneyAvg,scoreWhole
29285,Below40,7103, 1010 1039,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
29161,41to100,7204, 1001,0,1,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
3155,15to$30,1019,,32,13,15,3.4,3.7,3.35,3.63,2.83,3.35
10877,41to100,1003,,29,3,1,3.86,3.55,3.68,3.55,3.77,3.7
2991,15to$30,3007, 1024,15,4,3,4.0,4.18,4.0,4.18,3.27,3.92
29105,41to100,7105, 1032,3,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
6451,10to$15,3007, 1005 1034,31,18,23,3.16,3.04,2.98,3.02,3.0,3.05
9670,41to100,2005, 1036 1039,29,17,11,3.46,3.63,3.04,3.6,2.82,3.33
6531,Below40,3018,,3,2,6,2.82,3.15,2.8,3.02,2.53,2.82
4041,41to100,2030,,11,9,4,3.42,3.46,3.29,3.25,3.5,3.38
27487,,7601, 1010,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10520,10to$15,2003,,72,15,15,3.53,3.83,3.61,3.8,3.07,3.52
23855,41to100,8811,,0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
10838,Below40,2008, 1005,6,2,5,3.23,2.54,2.92,2.85,3.85,3.11
10344,41to100,2008,,50,23,13,3.23,3.55,3.11,3.39,3.62,3.3
11438,10to$15,1019, 1034,308,99,80,3.64,3.42,3.41,3.56,3.22,3.5
3816,41to100,2022, 1010 1018,41,12,1,3.9,2.93,3.36,3.02,3.67,3.55
10865,Below40,1019,,35,4,4,3.65,3.71,3.63,3.83,3.41,3.61
11948,Below40,2005,,200,21,7,4.24,2.94,4.34,3.39,4.15,3.94
